,bpp,psnr
/home/tsubota/data_hdd/BAM/images/media_pen_ink/101273515.png,0.0897692570279272,32.57585144042969
/home/tsubota/data_hdd/BAM/images/media_pen_ink/101822251.png,0.03752222222222223,41.71055603027344
/home/tsubota/data_hdd/BAM/images/media_pen_ink/104151457.png,0.10893333333333334,34.40311813354492
/home/tsubota/data_hdd/BAM/images/media_pen_ink/104610453.png,0.2548995983935743,29.113147735595703
/home/tsubota/data_hdd/BAM/images/media_pen_ink/104658003.png,0.0803023758099352,33.85776901245117
/home/tsubota/data_hdd/BAM/images/media_pen_ink/104838215.png,0.0648661800486618,36.058258056640625
/home/tsubota/data_hdd/BAM/images/media_pen_ink/104838217.png,0.08529640427599612,34.61143112182617
/home/tsubota/data_hdd/BAM/images/media_pen_ink/104850901.png,0.1593246753246753,31.47374725341797
/home/tsubota/data_hdd/BAM/images/media_pen_ink/104891305.png,0.24345185185185186,31.008136749267578
/home/tsubota/data_hdd/BAM/images/media_pen_ink/106622329.png,0.5344053208137716,23.44107437133789
/home/tsubota/data_hdd/BAM/images/media_pen_ink/108119075.png,0.7432211538461538,24.273418426513672
/home/tsubota/data_hdd/BAM/images/media_pen_ink/108135831.png,0.20805662805662806,28.55211067199707
/home/tsubota/data_hdd/BAM/images/media_pen_ink/110782595.png,0.445641627543036,24.95648193359375
/home/tsubota/data_hdd/BAM/images/media_pen_ink/111491177.png,0.4753686396677051,25.156423568725586
/home/tsubota/data_hdd/BAM/images/media_pen_ink/112498075.png,0.2011941908394006,28.2667236328125
/home/tsubota/data_hdd/BAM/images/media_pen_ink/115413409.png,0.3082244556113902,25.917518615722656
/home/tsubota/data_hdd/BAM/images/media_pen_ink/115868863.png,0.14742903487429035,31.296167373657227
/home/tsubota/data_hdd/BAM/images/media_pen_ink/117516425.png,0.4923298969072165,21.502695083618164
/home/tsubota/data_hdd/BAM/images/media_pen_ink/117565911.png,0.4737264150943396,25.23460578918457
/home/tsubota/data_hdd/BAM/images/media_pen_ink/117635683.png,0.19913227513227513,29.682247161865234
/home/tsubota/data_hdd/BAM/images/media_pen_ink/118444349.png,0.07705185185185186,35.4607048034668
/home/tsubota/data_hdd/BAM/images/media_pen_ink/120350989.png,0.38031331592689294,24.226909637451172
/home/tsubota/data_hdd/BAM/images/media_pen_ink/123361275.png,0.3505971392406724,24.289173126220703
/home/tsubota/data_hdd/BAM/images/media_pen_ink/123371415.png,0.2573856209150327,27.67775535583496
/home/tsubota/data_hdd/BAM/images/media_pen_ink/129015003.png,0.30934901960784317,28.7991943359375
/home/tsubota/data_hdd/BAM/images/media_pen_ink/130677537.png,0.24150510204081632,29.642972946166992
/home/tsubota/data_hdd/BAM/images/media_pen_ink/136307161.png,0.08380796508456083,31.104732513427734
/home/tsubota/data_hdd/BAM/images/media_pen_ink/136514775.png,0.37377777777777776,27.261417388916016
/home/tsubota/data_hdd/BAM/images/media_pen_ink/137803.png,0.14788195141537844,30.275285720825195
/home/tsubota/data_hdd/BAM/images/media_pen_ink/138265459.png,0.07266247379454928,35.30352020263672
/home/tsubota/data_hdd/BAM/images/media_pen_ink/138298143.png,0.2790819964349376,30.67702865600586
/home/tsubota/data_hdd/BAM/images/media_pen_ink/142246701.png,0.11989942528735634,34.41828918457031
/home/tsubota/data_hdd/BAM/images/media_pen_ink/143511989.png,0.11822553897180763,31.77956771850586
/home/tsubota/data_hdd/BAM/images/media_pen_ink/146341047.png,0.30233776702942367,28.271331787109375
/home/tsubota/data_hdd/BAM/images/media_pen_ink/149701965.png,0.13622402890695573,32.534732818603516
/home/tsubota/data_hdd/BAM/images/media_pen_ink/150104395.png,0.05534375,39.138519287109375
/home/tsubota/data_hdd/BAM/images/media_pen_ink/151252983.png,0.18680751173708918,30.720365524291992
/home/tsubota/data_hdd/BAM/images/media_pen_ink/154466623.png,0.887425925925926,21.52328109741211
/home/tsubota/data_hdd/BAM/images/media_pen_ink/154479207.png,0.42525555555555555,26.88599395751953
/home/tsubota/data_hdd/BAM/images/media_pen_ink/154479219.png,0.512294085129906,21.938573837280273
/home/tsubota/data_hdd/BAM/images/media_pen_ink/154479221.png,0.4909041394335512,22.930776596069336
/home/tsubota/data_hdd/BAM/images/media_pen_ink/154479225.png,0.5014670138888889,22.179988861083984
/home/tsubota/data_hdd/BAM/images/media_pen_ink/154695159.png,0.13251217814892136,31.29814910888672
/home/tsubota/data_hdd/BAM/images/media_pen_ink/154741761.png,0.24518962521321877,26.76392364501953
/home/tsubota/data_hdd/BAM/images/media_pen_ink/155734287.png,0.3801176470588235,23.439022064208984
/home/tsubota/data_hdd/BAM/images/media_pen_ink/156047715.png,0.33948303715670436,26.335792541503906
/home/tsubota/data_hdd/BAM/images/media_pen_ink/15642096.png,0.13586468122989576,32.11991882324219
/home/tsubota/data_hdd/BAM/images/media_pen_ink/156424119.png,0.15016355140186916,29.684825897216797
/home/tsubota/data_hdd/BAM/images/media_pen_ink/156431175.png,0.26884590586718243,28.17678451538086
/home/tsubota/data_hdd/BAM/images/media_pen_ink/158633139.png,0.11845980888139404,34.815616607666016
/home/tsubota/data_hdd/BAM/images/media_pen_ink/16011271.png,0.08895138888888889,32.201942443847656
/home/tsubota/data_hdd/BAM/images/media_pen_ink/160594541.png,0.057509850275807725,37.06401443481445
/home/tsubota/data_hdd/BAM/images/media_pen_ink/160594557.png,0.06671394799054374,36.581912994384766
/home/tsubota/data_hdd/BAM/images/media_pen_ink/160594603.png,0.13530338849487786,30.870210647583008
/home/tsubota/data_hdd/BAM/images/media_pen_ink/168599685.png,0.17775312140737376,31.93994140625
/home/tsubota/data_hdd/BAM/images/media_pen_ink/168633991.png,0.22052427412718936,28.071895599365234
/home/tsubota/data_hdd/BAM/images/media_pen_ink/168635735.png,0.15047174701918095,31.655471801757812
/home/tsubota/data_hdd/BAM/images/media_pen_ink/172328207.png,0.08351974723538705,34.560115814208984
/home/tsubota/data_hdd/BAM/images/media_pen_ink/174274345.png,0.2644415357766143,29.96002960205078
/home/tsubota/data_hdd/BAM/images/media_pen_ink/174276011.png,0.31048197650870796,29.825260162353516
/home/tsubota/data_hdd/BAM/images/media_pen_ink/174285781.png,0.5467407407407406,25.265043258666992
/home/tsubota/data_hdd/BAM/images/media_pen_ink/197188317.png,0.2261511111111111,27.7749080657959
/home/tsubota/data_hdd/BAM/images/media_pen_ink/29509483.png,0.04695111111111112,39.314910888671875
/home/tsubota/data_hdd/BAM/images/media_pen_ink/2982726.png,0.1138562091503268,32.526588439941406
/home/tsubota/data_hdd/BAM/images/media_pen_ink/35651217.png,0.4387412587412587,25.588228225708008
/home/tsubota/data_hdd/BAM/images/media_pen_ink/37944913.png,0.054559193954659954,38.61044692993164
/home/tsubota/data_hdd/BAM/images/media_pen_ink/38030057.png,0.2678400830737279,25.32037353515625
/home/tsubota/data_hdd/BAM/images/media_pen_ink/38030895.png,0.10031830238726791,32.54132080078125
/home/tsubota/data_hdd/BAM/images/media_pen_ink/44150041.png,0.19874684206426052,27.907848358154297
/home/tsubota/data_hdd/BAM/images/media_pen_ink/4627124.png,0.09178255879516072,33.13547897338867
/home/tsubota/data_hdd/BAM/images/media_pen_ink/49603987.png,0.054275,37.7944221496582
/home/tsubota/data_hdd/BAM/images/media_pen_ink/5340772.png,0.20521666666666669,30.43155860900879
/home/tsubota/data_hdd/BAM/images/media_pen_ink/54568941.png,0.10301492537313432,30.75649070739746
/home/tsubota/data_hdd/BAM/images/media_pen_ink/55510135.png,0.3878333333333333,27.237133026123047
/home/tsubota/data_hdd/BAM/images/media_pen_ink/58056739.png,0.3679253472222222,27.314208984375
/home/tsubota/data_hdd/BAM/images/media_pen_ink/59445563.png,0.280464,26.125852584838867
